state,x,y
Andhra Pradesh,-85,-213
Arunachal Pradesh,283,133
Assam,238,73
Bihar,72,58
Chhattisgarh,-13,-43
Goa,-192,-194
Gujarat,-257,-20
Haryana,-145,149
Himachal Pradesh,-117,209
Jharkhand,67,9
Jammu And Kashmir,-141,307        #
Karnataka,-147,-188
Kerla,-143,-298
Madhya Pradesh,-115,5
Maharashtra,-154,-85
Manipur,266,37
Meghalaya,193,54
Mizoram,244,1
Nagaland,279,65
Odisha,53,-64
Punjab,-173,189
Rajasthan,-211,93
Sikkim,142,112
Tamil Nadu,-122,-296
Telangana,-78,-144
Tripura,211,3
Uttar Pradesh,-85,97
Uttarakhand,-72,177
West Bengal,115,-8
